Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,102001,5.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,15.8,0.0232,2,0.05,31.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,20,0.75,532
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119001,6.50 - 10,ACHIEVER,BLACK,STD,5,2 LAYER,34,0.0488,26,1.27,884
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125001,7.00 - 12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,10,0.69,468
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104002,18 X 7 - 8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,30,0.91,627
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,102002,5.00-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,15.9,0.0232,2,0.05,31.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,103002,16 X 6 - 18,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,20,0.49,320
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111002,6.00-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,26.8,0.0377,13,0.49,348.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,112002,21 X 8 - 9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,3,0.14,102.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,30,1.16,717
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119002,6.50 - 10,ACHIEVER,BLACK,CLIP,5,2 LAYER,34.6,0.0488,4,0.2,138.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,120002,23 X 9 - 10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,6,0.38,276
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125002,7.00 - 12,ACHIEVER,BLACK,CLIP,5,2 LAYER,47.3,0.0691,11,0.76,520.3
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,126002,23 X 10 - 12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,5,0.39,256
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135002,8.15 - 15,ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,30,3.07,"1,809.00"
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,138002,8.25 - 15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,6,0.74,507
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,139002,3.00-15,ACHIEVER,BLACK,CLIP,8,2 LAYER,104.2,0.1563,8,1.25,833.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,102003,5.00-8,ACHIEVER,N/M (Off White),STD,3,2 LAYER,15.7,0.0232,4,0.09,62.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111003,6.00-9,ACHIEVER,N/M (Off White),STD,4,2 LAYER,26.4,0.0377,2,0.08,52.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119003,6.50 - 10,ACHIEVER,N/M (Off White),STD,5,2 LAYER,34.4,0.0488,4,0.2,137.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125003,7.00 - 12,ACHIEVER,N/M (Off White),STD,5,2 LAYER,46.8,0.0691,6,0.41,280.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,101004,15 X 4 1/2 - 8,ACHIEVER,NM-Off White,CLIP,3,2 LAYER,9.2,0.0147,10,0.15,92
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,110004,140 / 55 - 9,ACHIEVER,NM-Off White,CLIP,4,2 LAYER,10,0.0179,18,0.32,180
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104004,18 X 7 - 8,ACHIEVER,NM-Off White,CLIP,4.33,2 LAYER,21,0.0303,30,0.91,630
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118004,200 / 50 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,23.9,0.0388,30,1.16,717
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,102004,5.00-8,ACHIEVER,NM-Off White,CLIP,3,2 LAYER,15.9,0.0232,2,0.05,31.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,103004,16 X 6 - 8,ACHIEVER,NM-Off White,CLIP,4.33,2 LAYER,16,0.0244,20,0.49,320
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119004,6.50 - 10,ACHIEVER,NM-Off White,CLIP,5,2 LAYER,34.8,0.0488,2,0.1,69.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,120004,23 X 9 - 10,ACHIEVER,NM-Off White,CLIP,6.5,2 LAYER,46.2,0.0627,6,0.38,277.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125004,7.00 - 12,ACHIEVER,NM-Off White,CLIP,5,2 LAYER,47.2,0.0691,4,0.28,188.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135004,8.15 - 15,ACHIEVER,NM-Off White,CLIP,7,2 LAYER,60.8,0.1024,4,0.41,243.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119011,6.50 - 10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0488,12,0.59,404.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,12,0.83,548.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104012,18 X 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,20,0.61,418
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118012,200 / 50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,20,0.78,478
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111012,6.00 - 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.4,0.0377,3,0.11,79.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119012,6.50 - 10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,3,0.15,102.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125012,7.00 - 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,11,0.76,507.1
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135012,8.15 - 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,12,1.23,723.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119013,6.50 - 10,ACHIEVER PLUS,NM-Off White,STD,5,3 LAYER,32.3,0.0488,2,0.1,64.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,110014,140/55-9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,9.85,0.0179,14,0.25,137.9
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104014,18 X 7 - 8,ACHIEVER PLUS,NM-Off White,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.61,408
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,118014,200 / 50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,6.5,3 LAYER,23.6,0.0388,22,0.85,519.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,111014,6.00 - 9,ACHIEVER PLUS,NM-Off White,CLIP,4,3 LAYER,26.4,0.0377,6,0.23,158.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119014,6.50 - 10,ACHIEVER PLUS,NM-Off White,CLIP,5,3 LAYER,32.9,0.0488,4,0.2,131.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,135014,8.15 - 15,ACHIEVER PLUS,NM-Off White,CLIP,7,3 LAYER,59.2,0.1024,2,0.2,118.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,10,0.52,349
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,4,0.29,187.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,16,0.51,332.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,5,0.26,176.5
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,4,0.29,191.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,10,0.17,103
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,10,0.19,103.95
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,17,0.54,357
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,120044,23 X 9 - 10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,9,0.59,403.2
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,711072,16 X 6 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,4,0.1,76.4
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,712072,16 X 7 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.2,0.0302,4,0.12,88.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,712074,16 X 7 X 10 1/2,RUNNERBAND,NM,TRACTION,-,2 LAYER,22.4,0.0302,4,0.12,89.6
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,715074,18 X 7 X 12 1/8,RUNNERBAND,NM,TRACTION,-,2 LAYER,25.7,0.0382,4,0.15,102.8
26.10.2023,TUK-FFL,216,TURKEY OREDR 18,727,166321,31x10-20 (WAP) , SKID SOLID,BLACK,STD,7.5,2 LAYER,62.7,0.1446,6,0.87,376.2
